File Definition, /mnt/hgfs/OpenSatKit/cosmos/config/tools/table_manager/cfe_sb_routes.txt
File Binary, /mnt/hgfs/OpenSatKit/cosmos/cfs_kit/file_server/cfe_sb_route.dat

CFE_SB PIPE INFO
Label, Value
REC100_PIPE_NAME, TIME_CMD_PIPE, 
REC101_MSG_ID, 0x1810, 
REC101_PIPE_ID, 3, 
REC101_STATE, ENABLED, 
REC101_MSG_CNT, 3386, 
REC101_APP_NAME, CFE_TIME, 
REC101_PIPE_NAME, TIME_CMD_PIPE, 
REC102_MSG_ID, 0x1811, 
REC102_PIPE_ID, 3, 
REC102_STATE, ENABLED, 
REC102_MSG_CNT, 3404, 
REC102_APP_NAME, CFE_TIME, 
REC102_PIPE_NAME, TIME_CMD_PIPE, 
REC103_MSG_ID, 0x1860, 
REC103_PIPE_ID, 3, 
REC103_STATE, ENABLED, 
REC103_MSG_CNT, 3386, 
REC103_APP_NAME, CFE_TIME, 
REC103_PIPE_NAME, TIME_CMD_PIPE, 
REC104_MSG_ID, 0x1862, 
REC104_PIPE_ID, 3, 
REC104_STATE, ENABLED, 
REC104_MSG_CNT, 3386, 
REC104_APP_NAME, CFE_TIME, 
REC104_PIPE_NAME, TIME_CMD_PIPE, 
REC105_MSG_ID, 0x1880, 
REC105_PIPE_ID, 6, 
REC105_STATE, ENABLED, 
REC105_MSG_CNT, 1, 
REC105_APP_NAME, KIT_TO, 
REC105_PIPE_NAME, KIT_TO_CMD_PIPE, 
REC106_MSG_ID, 0x1881, 
REC106_PIPE_ID, 6, 
REC106_STATE, ENABLED, 
REC106_MSG_CNT, 851, 
REC106_APP_NAME, KIT_TO, 
REC106_PIPE_NAME, KIT_TO_CMD_PIPE, 
REC107_MSG_ID, 0x1884, 
REC107_PIPE_ID, 7, 
REC107_STATE, ENABLED, 
REC107_MSG_CNT, 0, 
REC107_APP_NAME, KIT_CI, 
REC107_PIPE_NAME, KIT_CI_CMD_PIPE, 
REC108_MSG_ID, 0x1885, 
REC108_PIPE_ID, 21, 
REC108_STATE, ENABLED, 
REC108_MSG_CNT, 851, 
REC108_APP_NAME, ISIM, 
REC108_PIPE_NAME, ISIM_CMD_PIPE, 
REC109_MSG_ID, 0x1885, 
REC109_PIPE_ID, 7, 
REC109_STATE, ENABLED, 
REC109_MSG_CNT, 851, 
REC109_APP_NAME, KIT_CI, 
REC109_PIPE_NAME, KIT_CI_CMD_PIPE, 
REC110_MSG_ID, 0x1888, 
REC110_PIPE_ID, 15, 
REC110_STATE, ENABLED, 
REC110_MSG_CNT, 0, 
REC110_APP_NAME, MM, 
REC110_PIPE_NAME, MM_CMD_PIPE, 
REC111_MSG_ID, 0x1889, 
REC111_PIPE_ID, 15, 
REC111_STATE, ENABLED, 
REC111_MSG_CNT, 851, 
REC111_APP_NAME, MM, 
REC111_PIPE_NAME, MM_CMD_PIPE, 
REC112_MSG_ID, 0x188C, 
REC112_PIPE_ID, 10, 
REC112_STATE, ENABLED, 
REC112_MSG_CNT, 0, 
REC112_APP_NAME, FM, 
REC112_PIPE_NAME, FM_CMD_PIPE, 
REC113_MSG_ID, 0x188D, 
REC113_PIPE_ID, 10, 
REC113_STATE, ENABLED, 
